pop_ID_R,pop_ID
_E_BB_,Erie_Borus Beach
_E_CC_,Erie_Cattaragus Creek
_E_CI_,Erie_Chicken Island Reef
_E_DE_,Erie_Detroit River
_E_MA_,Erie_Maumee River
_E_OH_,"Erie_Grand River, Ohio"
_E_ON_,Erie_Ontario Grand River
_E_RE_,Erie_Tourssant Reef
_E_SA_,Erie_Sandusky River
_E_SC_,Erie_Smokes Creek
_E_SH_,Erie_Shorehaven
_E_VB_,Erie_Van Buren Bay
_E_ZR_,Erie_Zellerhouse Reef
_H_MR_,Huron_Moon River
_H_TR_WAE,Huron_Tittabawasee River
_M_FR_,Michigan_Fox River
_M_LB_,Michigan_Little Bay d-noc
_M_MU_,Michigan_Muskegon River
_M_WR_,Michigan_wolf river
_O_BQ_,Ontario_Bay of Quinte
_O_BR_,Ontario_Black River
_O_OL_,Ontario_Oneida Lake
_S_BS_,Superior_Black Sturgeon River
_S_KA_,Superior_Kakagon River (Bad River)
_S_LG_,Superior_Lake Gogebic
_S_NR_,Superior_Nipigon River
_S_SL_,Superior_St Louis River
_S_SM_,Superior_St. Mary's River
_stC_CR_,St_Clair_Clinton River
